gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
S100A6,2.42365994090909,9.41832638345865,6.03499835707764,1.47533761073917e-08,1.18187117902e-05,9.31321663453084
UBE2S,2.03009930818182,6.24571536090226,5.07444556517885,1.27635737336304e-06,8.9844607370764e-05,5.13657844217925
MGST1,1.97854500030303,4.59538921052632,5.08127743475805,1.23849397433521e-06,8.97311488585676e-05,5.16466639169731
CTNNB1,1.93803768060606,4.86372487218045,4.62505138218176,8.74728431276137e-06,0.0002166881922282,3.34595400272581
GPNMB,1.9206503330303,4.19065430827068,5.92846592486336,2.4708815542972e-08,1.34816640049059e-05,8.82899686057576
RPS7,1.83726758636364,9.99360143609023,4.68706972611923,6.75227886464209e-06,0.0001913458584196,3.58619163087153
ALYREF,1.80555159030303,6.53598744360902,4.81128970378836,3.99389022842622e-06,0.0001529955520521,4.07412713343735
S100A4,1.7421435830303,8.53196390977444,5.57449024666025,1.32230007441796e-07,2.99939257329774e-05,7.25602710920029
NUTF2,1.62672317030303,8.36720590225564,4.36674527233752,2.50916232649444e-05,0.0003609605312115,2.37028454225984
CDKN3,1.61795957030303,4.94851107518797,5.02929473844338,1.55644638694927e-06,9.95769010194466e-05,4.95158150144486
DSG2,1.58171074030303,5.07867483458647,4.8762683131708,3.02412205740407e-06,0.0001359576028692,4.33288467303996
HAUS6,1.52328255666667,4.49960043609023,4.84449132509959,3.465781258099e-06,0.000143669798847,4.20604375505283
TMEM256,1.49228279333333,6.90635019548872,5.20769278789851,7.06271966883061e-07,7.32137174227098e-05,5.68887338087049
NUPR1,1.49188406090909,6.9239317518797,4.55726263729444,1.15782822704959e-05,0.0002521710583953,3.08597858437669
S100P,1.47927681151515,6.31834294736842,4.0315254187228,9.26752932978647e-05,0.0007044159717986,1.16676019801398
HIKESHI,1.47692078666667,4.49409090977444,4.84562403485713,3.44901476650057e-06,0.0001432689508356,4.21055527237403
LAMTOR1,1.47514758727273,7.73616520300752,4.74241426347061,5.34951171370829e-06,0.0001719447035293,3.80248193474835
RNA45SN5,1.47245397818182,6.67470856390977,6.64318625526564,7.11646167715538e-10,2.39445213897355e-06,12.1641746111625
YWHAH,1.46341419818182,6.21651339097744,4.7135517887231,6.04160234804591e-06,0.0001821872175961,3.68946267115367
CXCL13,1.45621758121212,5.04554968421053,3.47034178304497,0.0007005841956415,0.0027753912365798,-0.677558028499876
DEPDC1,1.45361924484849,4.72124368421053,4.79849792054847,4.21750520177996e-06,0.0001558196449496,4.02347039585239
LAMTOR2,1.44014444969697,7.06525859398496,5.79300929242753,4.726344326055e-08,1.70384712954283e-05,8.22039173637425
LYRM2,1.42407664454545,5.96086713533835,4.03441164270834,9.16664766034231e-05,0.0006996456822948,1.17680854121079
AIDA,1.42347571090909,5.69377060150376,4.35549039442618,2.62466241618721e-05,0.0003666073413141,2.32870770996199
BAX,1.41991122454546,5.04441503007519,4.76774870807597,4.80579524556036e-06,0.0001651053830405,3.90208390977561
S100A9,1.41735255848485,5.62922323308271,3.66995596741219,0.0003496201005627,0.0016884854140646,-0.0470150071472544
RPL11,1.41677824787879,10.2244449849624,4.47327011490393,1.63263450951863e-05,0.0002949337481143,2.76770606596893
MND1,1.41360596878788,4.9313212481203,5.10427619042393,1.11889158303432e-06,8.6606191934247e-05,5.25940517561614
DNPH1,1.41129998727273,5.89876291729323,4.50557881072901,1.43118497625682e-05,0.000276831941522,2.88962534212532
C22orf39,1.39994656909091,4.9240675037594,4.39341617845202,2.25465108330493e-05,0.0003432646762425,2.46912661267836
CTSZ,1.3971021060606,7.40156789473684,4.44697397169857,1.81651251672843e-05,0.0003147790101949,2.66894795361076
C1orf112,1.39400580181818,4.44917151879699,6.03375817128033,1.48426243087892e-08,1.18187117902e-05,9.30755205871007
PRKDC,1.38411671606061,7.03398634586466,4.14932423567249,5.90294808808977e-05,0.0005483055465072,1.58136647955182
NDUFB10,1.38076995030303,7.94262513533835,5.13498551693021,9.76576677158606e-07,8.14674791672642e-05,5.38634567831189
UAP1L1,1.38071601272727,4.72625393233083,5.539085909021,1.5588701757557e-07,3.3126811692796e-05,7.10187986914165
ASPM,1.37274809727273,6.77441230075188,5.55740284132955,1.43173002228645e-07,3.14171366194769e-05,7.18155552955095
METTL26,1.36325911424242,5.37561457142857,4.83889365838168,3.54980558367868e-06,0.000144768580295,4.18375924268546
PFN1,1.36222054181818,8.05254221052632,4.9012305130133,2.71596023910485e-06,0.000129436457523,4.43292204296398
FLOT1,1.32487173121212,4.16338796240601,4.83447253291728,3.61756204829079e-06,0.0001463553960538,4.16617113837319
C1QBP,1.31590417242424,7.93620160902256,4.07266801480197,7.92472627655824e-05,0.0006403222546322,1.31052225077864
RNF19B,1.3108912030303,4.21391081954887,5.18237274586295,7.90892624418469e-07,7.50853139491431e-05,5.58320460473757
SELENOM,1.30784087575758,5.72059557142857,5.69761386674964,7.42599912364852e-08,2.02617572050135e-05,7.79669071957125
HACD3,1.30447655575758,6.31908413533835,5.17908848229672,8.02567624712703e-07,7.50853139491431e-05,5.56952284958333
LSM4,1.29979197939394,6.16764273684211,4.12436514912384,6.49974822954612e-05,0.0005807012321447,1.49275559776508
PBK,1.29942492090909,6.69095587218045,4.06077605436093,8.29243234927435e-05,0.0006588257546916,1.26885312053527
RPL29,1.29676192727273,10.7680487593985,4.24964897609059,3.99224481025616e-05,0.0004490710504604,1.94163406793182
CHCHD2,1.28276315848485,9.59674327067669,5.03630873733895,1.50931638588621e-06,9.8608670544566e-05,4.9802477247174
LAMP1,1.28039234787879,4.59853877443609,4.75992924414857,4.96763199860028e-06,0.0001686227508773,3.87130227161873
GGA1,1.27856796121212,4.79059282706767,4.29164004652425,3.38309336585645e-05,0.0004129255675327,2.09434843182646
HBS1L,1.27401211393939,6.17597354887218,4.6677543492447,7.32095197651937e-06,0.0002002647405175,3.51112736638265
MCM10,1.27359384909091,5.11940254887218,5.13762846747656,9.65187140471167e-07,8.11883249659664e-05,5.39729400340566
USF1,1.26811060030303,5.68788541353383,6.71147537543971,5.019637202608501e-10,2.02672871692521e-06,12.4927838112899
LSM7,1.26754984060606,8.52873406766917,3.75272061139239,0.0002599869748977,0.0013711120818274,0.222806243808031
HNRNPL,1.26578904151515,7.83009106766917,4.75786027749056,5.01132800376322e-06,0.0001688959761936,3.86316359955056
GEMIN2,1.26505384636364,4.70610933082707,4.58462010946474,1.034288827646e-05,0.0002383837928623,3.19056567472121
HAUS1,1.26494978272727,6.57804721052632,4.85453618234664,3.31981207379256e-06,0.0001388449849916,4.24607716307579
RACGAP1,1.2641960239394,7.59657406766917,5.09937437534127,1.14340121590033e-06,8.7105599043758e-05,5.23918941886961
UBE2T,1.2624237939394,6.58133057142857,5.23575161890628,6.22791709251989e-07,6.94636410297191e-05,5.80636156292519
SNRNP40,1.25665824909091,6.20044608270677,4.45826690243728,1.73522433072244e-05,0.0003046148590315,2.71130772056804
PRCC,1.25380194484848,5.5777172556391,5.16535991498853,8.53213958217928e-07,7.68959079843908e-05,5.51239290582701
CRIP1,1.25058990636364,8.17612047368421,3.54216887438599,0.0005472967003333,0.0023306904239419,-0.454000956246965
RHNO1,1.25042539242424,4.34300077443609,4.96967648829117,2.01918723860701e-06,0.0001098562166896,4.70900421151778
RPS14,1.24980693424243,11.385274962406,4.68510689720601,6.80805784452587e-06,0.0001922252751962,3.57855360086804
TNPO3,1.24025893424242,6.95824190977444,4.88447995046541,2.91918197434621e-06,0.000134548962781,4.36575468598723
NOCT,1.23967354272727,3.89464490225564,5.42903756853825,2.59013700165112e-07,4.52162188845907e-05,6.62659639498904
